,Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Census Tract,Dropoff Census Tract,Fare,Tip,Additional Charges,Trip Total,Shared Trip Authorized,Trips Pooled,YEAR,MONTH,DOW,HOUR
9285742,2019-01-24 08:15:00,2019-01-24 10:30:00,8068.0,58.1,17031320100.0,17031841900.0,152.5,0.0,2.55,155.05,False,1.0,2019,1,3,8
9764265,2019-01-01 08:45:00,2019-01-01 10:45:00,7752.0,90.7,17031081403.0,17031081403.0,112.5,21.0,5.5,139.0,False,1.0,2019,1,1,8
10872560,2019-02-21 07:45:00,2019-02-21 09:45:00,7645.0,51.7,17031839100.0,17031842200.0,80.0,11.0,3.3,94.3,False,1.0,2019,2,3,7
11963121,2019-02-01 08:15:00,2019-02-01 10:00:00,6133.0,53.9,17031839100.0,17031281900.0,75.0,0.0,2.55,77.55,False,1.0,2019,2,4,8
12646541,2019-01-25 08:30:00,2019-01-25 10:30:00,7135.0,83.4,17031081600.0,17031832100.0,102.5,0.0,2.55,105.05,False,1.0,2019,1,4,8
14074710,2019-02-19 08:45:00,2019-02-19 09:45:00,4124.0,60.3,17031081300.0,17031839100.0,70.0,0.0,3.75,73.75,False,1.0,2019,2,1,8
14093054,2019-02-26 08:15:00,2019-02-26 10:00:00,6165.0,59.0,17031980000.0,17031839100.0,70.0,0.0,9.05,79.05,True,1.0,2019,2,1,8
14592976,2019-02-01 08:15:00,2019-02-01 11:30:00,11392.0,51.3,17031836200.0,17031130100.0,192.5,0.0,2.55,195.05,False,1.0,2019,2,4,8
14599768,2019-01-01 08:00:00,2019-01-01 10:15:00,7983.0,72.9,17031320400.0,17031980000.0,97.5,0.0,10.2,107.7,False,1.0,2019,1,1,8
15127578,2019-02-19 08:45:00,2019-02-19 10:45:00,7275.0,81.1,17031240500.0,17031240500.0,102.5,0.0,2.55,105.05,False,1.0,2019,2,1,8
17501720,2019-01-18 07:00:00,2019-01-18 08:15:00,4561.0,52.3,17031980000.0,17031730400.0,65.0,0.0,11.15,76.15,False,1.0,2019,1,4,7
19805750,2019-02-21 08:15:00,2019-02-21 09:15:00,3688.0,52.3,17031500300.0,17031980000.0,52.5,0.0,8.51,61.01,False,1.0,2019,2,3,8
20783863,2019-01-03 08:45:00,2019-01-03 11:00:00,7915.0,93.4,17031081403.0,17031330100.0,115.0,10.0,5.55,130.55,False,1.0,2019,1,3,8
22114283,2019-02-20 07:15:00,2019-02-20 08:15:00,3576.0,53.5,17031980000.0,17031838800.0,62.5,0.0,10.55,73.05,False,1.0,2019,2,2,7
22457362,2019-01-04 08:15:00,2019-01-04 10:00:00,6082.0,54.6,17031320400.0,17031320400.0,75.0,0.0,5.5,80.5,False,1.0,2019,1,4,8
23293208,2019-02-13 07:30:00,2019-02-13 08:30:00,3430.0,52.0,17031980000.0,17031500200.0,60.0,14.0,10.55,84.55,False,1.0,2019,2,2,7
25153040,2019-02-26 07:45:00,2019-02-26 09:00:00,4136.0,50.2,17031980000.0,17031836200.0,62.5,0.0,10.55,73.05,False,1.0,2019,2,1,7
25403856,2019-02-20 07:15:00,2019-02-20 09:00:00,6432.0,61.7,17031081800.0,17031081300.0,102.5,0.0,2.55,105.05,False,1.0,2019,2,2,7
25844579,2019-01-02 08:45:00,2019-01-02 11:00:00,8251.0,98.0,17031081403.0,17031411000.0,120.0,10.0,5.55,135.55,False,1.0,2019,1,2,8
27140437,2019-01-09 07:45:00,2019-01-09 10:15:00,8493.0,62.6,17031750100.0,17031817900.0,92.5,0.0,4.05,96.55,False,1.0,2019,1,2,7
28946037,2019-01-10 07:00:00,2019-01-10 09:00:00,6952.0,77.9,17031031501.0,17031760801.0,97.5,0.0,5.25,102.75,False,1.0,2019,1,3,7
29121768,2019-02-25 08:15:00,2019-02-25 10:15:00,6649.0,61.1,17031490901.0,17031490901.0,122.5,0.0,4.8,127.3,False,1.0,2019,2,0,8
29315963,2019-02-12 08:30:00,2019-02-12 10:15:00,6853.0,88.2,17031281900.0,17031980100.0,105.0,0.0,8.3,113.3,False,1.0,2019,2,1,8
30557519,2019-02-25 08:30:00,2019-02-25 10:00:00,5732.0,59.7,17031980000.0,17031081403.0,77.5,13.0,10.55,101.05,False,1.0,2019,2,0,8
31308732,2019-01-29 08:45:00,2019-01-29 10:00:00,4186.0,65.1,17031980000.0,17031842000.0,75.0,0.0,11.15,86.15,False,1.0,2019,1,1,8
34351369,2019-01-22 08:00:00,2019-01-22 09:15:00,4540.0,50.1,17031980000.0,17031836200.0,62.5,10.0,10.55,83.05,False,1.0,2019,1,1,8
67948480,2020-01-13 07:45:00,2020-01-13 10:00:00,8014.0,77.6,17031980000.0,17031980000.0,102.5,0.0,12.18,114.68,False,1.0,2020,1,0,7
69070818,2020-01-29 08:30:00,2020-01-29 10:00:00,5320.0,50.6,17031320400.0,17031980100.0,55.0,16.0,11.46,82.46000000000002,False,1.0,2020,1,2,8
73321184,2020-02-28 08:30:00,2020-02-28 09:00:00,1432.0,59.9,17031191302.0,17031240700.0,10.0,0.0,0.0,10.0,True,3.0,2020,2,4,8
74940341,2020-02-20 08:45:00,2020-02-20 10:45:00,6817.0,57.5,17031980000.0,17031081300.0,80.0,0.0,11.63,91.63,False,1.0,2020,2,3,8
75095821,2020-02-21 07:45:00,2020-02-21 11:15:00,12679.0,96.7,17031350100.0,17031350100.0,140.0,0.0,5.44,145.44,False,1.0,2020,2,4,7
75513977,2020-01-06 08:30:00,2020-01-06 09:30:00,3461.0,50.5,17031980000.0,17031836200.0,35.0,0.0,8.43,43.43,False,1.0,2020,1,0,8
78263445,2020-02-24 07:45:00,2020-02-24 09:15:00,5620.0,66.4,17031980000.0,17031020200.0,52.5,0.0,11.06,63.56,False,1.0,2020,2,0,7
78422824,2020-02-07 08:00:00,2020-02-07 10:00:00,6877.0,76.1,17031010502.0,17031010503.0,95.0,26.0,4.03,125.03,False,1.0,2020,2,4,8
80795641,2020-01-16 07:00:00,2020-01-16 08:45:00,6004.0,61.5,17031730201.0,17031730201.0,80.0,0.0,9.13,89.13,False,2.0,2020,1,3,7
80822469,2020-02-27 07:30:00,2020-02-27 08:15:00,2825.0,54.7,17031530501.0,17031841900.0,27.5,0.0,0.0,27.5,True,2.0,2020,2,3,7
81050359,2020-01-10 08:00:00,2020-01-10 09:15:00,4229.0,50.4,17031980000.0,17031510300.0,62.5,0.0,11.08,73.58,False,1.0,2020,1,4,8
81692351,2020-02-19 08:00:00,2020-02-19 09:15:00,3673.0,55.2,17031980000.0,17031834300.0,62.5,0.0,11.08,73.58,False,1.0,2020,2,2,8
81875728,2020-02-13 08:00:00,2020-02-13 10:00:00,6862.0,50.6,17031081700.0,17031063000.0,92.5,0.0,5.39,97.89,False,1.0,2020,2,3,8
84881824,2020-01-06 08:15:00,2020-01-06 10:00:00,5898.0,72.9,17031980000.0,17031980000.0,92.5,18.0,8.34,118.84,False,1.0,2020,1,0,8
86504618,2020-02-10 08:15:00,2020-02-10 08:45:00,1794.0,55.1,17031843200.0,17031241200.0,10.0,2.0,0.0,12.0,True,4.0,2020,2,0,8
86584847,2020-02-12 07:30:00,2020-02-12 08:30:00,4059.0,50.6,17031550200.0,17031980000.0,62.5,5.0,12.58,80.08,False,1.0,2020,2,2,7
88486971,2020-02-28 08:45:00,2020-02-28 09:45:00,3678.0,59.9,17031250600.0,17031841800.0,27.5,0.0,0.0,27.5,True,3.0,2020,2,4,8
90389745,2020-01-30 07:45:00,2020-01-30 09:00:00,4753.0,50.7,17031834200.0,17031980000.0,65.0,0.0,11.76,76.76,False,1.0,2020,1,3,7
92048870,2020-02-24 08:30:00,2020-02-24 10:15:00,5849.0,55.1,17031980000.0,17031081800.0,72.5,0.0,11.63,84.13,False,1.0,2020,2,0,8
93689709,2020-02-10 08:00:00,2020-02-10 08:45:00,2077.0,55.1,17031611500.0,17031833300.0,12.5,0.0,0.0,12.5,True,4.0,2020,2,0,8
94384995,2020-02-25 08:15:00,2020-02-25 10:45:00,8622.0,97.7,17031210501.0,17031839100.0,120.0,19.0,7.83,146.83,False,1.0,2020,2,1,8
103552343,2020-01-21 07:30:00,2020-01-21 08:30:00,3832.0,67.7,17031020301.0,17031081401.0,15.0,1.0,0.0,16.0,True,3.0,2020,1,1,7
104064466,2020-02-04 08:00:00,2020-02-04 09:15:00,3812.0,54.3,17031980000.0,17031500200.0,55.0,0.0,10.48,65.48,True,2.0,2020,2,1,8
104649053,2020-02-03 08:15:00,2020-02-03 09:45:00,5294.0,50.2,17031980000.0,17031081800.0,125.0,0.0,12.03,137.03,False,1.0,2020,2,0,8
104880920,2020-01-24 08:15:00,2020-01-24 08:45:00,2374.0,54.5,17031980100.0,17031839100.0,22.5,5.0,0.0,27.5,True,2.0,2020,1,4,8
105148024,2020-02-19 08:30:00,2020-02-19 09:30:00,3619.0,50.3,17031980000.0,17031836200.0,37.5,3.0,8.5,49.0,False,1.0,2020,2,2,8
105763212,2020-02-07 08:30:00,2020-02-07 10:15:00,5844.0,51.9,17031320400.0,17031980000.0,70.0,30.0,9.83,109.83,False,1.0,2020,2,4,8
106503596,2020-02-04 08:30:00,2020-02-04 10:15:00,6439.0,55.0,17031010100.0,17031010100.0,77.5,0.0,6.08,83.58,False,1.0,2020,2,1,8
107003559,2020-02-04 08:30:00,2020-02-04 10:15:00,6397.0,94.9,17031980000.0,17031280100.0,107.5,19.0,11.63,138.13,False,1.0,2020,2,1,8
107113300,2020-02-25 08:30:00,2020-02-25 10:15:00,6475.0,57.0,17031980000.0,17031081600.0,77.5,7.0,11.63,96.13,False,1.0,2020,2,1,8
107566395,2020-01-17 08:00:00,2020-01-17 09:15:00,4846.0,84.4,17031980000.0,17031770700.0,92.5,0.0,10.37,102.87,False,1.0,2020,1,4,8
108327617,2020-02-14 08:15:00,2020-02-14 10:00:00,6355.0,51.1,17031980100.0,17031980100.0,72.5,0.0,8.08,80.58,False,1.0,2020,2,4,8
109177574,2020-01-06 08:15:00,2020-01-06 13:00:00,16209.0,195.6,17031081201.0,17031980000.0,285.0,50.0,16.14,351.14,False,1.0,2020,1,0,8
109304517,2020-01-09 08:30:00,2020-01-09 09:15:00,3477.0,54.2,17031980000.0,17031490800.0,47.5,0.0,9.31,56.81,False,1.0,2020,1,3,8
111532947,2020-02-26 08:00:00,2020-02-26 10:00:00,7200.0,88.8,17031320100.0,17031980000.0,107.5,10.0,12.83,130.33,False,1.0,2020,2,2,8
111650439,2020-01-21 07:30:00,2020-01-21 08:45:00,4267.0,56.6,17031980000.0,17031430800.0,42.5,0.0,8.54,51.04,False,1.0,2020,1,1,7
112331201,2020-01-21 07:30:00,2020-01-21 08:30:00,3751.0,67.7,17031020302.0,17031081401.0,15.0,0.0,0.0,15.0,True,3.0,2020,1,1,7
112732938,2020-02-18 08:00:00,2020-02-18 09:45:00,6529.0,53.9,17031980000.0,17031839100.0,75.0,0.0,11.63,86.63,False,1.0,2020,2,1,8
113515403,2020-02-27 08:45:00,2020-02-27 09:45:00,3773.0,53.1,17031760801.0,17031836200.0,62.5,6.0,8.93,77.43,False,1.0,2020,2,3,8
113856612,2020-02-24 08:30:00,2020-02-24 10:45:00,7591.0,91.6,17031060900.0,17031050600.0,195.0,0.0,5.33,200.33,False,1.0,2020,2,0,8
114730984,2020-01-30 08:30:00,2020-01-30 19:45:00,40200.0,71.1,17031700301.0,17031700200.0,10.0,0.0,0.72,10.72,False,1.0,2020,1,3,8
114844980,2020-02-19 08:30:00,2020-02-19 10:30:00,7296.0,56.2,17031980000.0,17031281900.0,82.5,0.0,11.63,94.13,False,1.0,2020,2,2,8
115198129,2019-02-01 08:45:00,2019-02-01 10:00:00,3924.0,57.6,17031980000.0,17031081600.0,30.0,10.0,8.15,48.15,False,1.0,2019,2,4,8
115285807,2019-01-17 08:30:00,2019-01-17 09:30:00,3587.0,50.6,17031980000.0,17031411200.0,85.0,0.0,8.45,93.45,False,1.0,2019,1,3,8
115827815,2019-02-20 08:45:00,2019-02-20 10:30:00,6493.0,77.6,17031980100.0,17031833100.0,95.0,25.0,7.55,127.55,False,1.0,2019,2,2,8
118054978,2019-02-18 08:30:00,2019-02-18 10:30:00,6775.0,77.0,17031063400.0,17031980000.0,142.5,0.0,9.35,151.85,False,1.0,2019,2,0,8
118624253,2019-01-09 08:00:00,2019-01-09 10:00:00,6934.0,87.6,17031842200.0,17031839100.0,105.0,10.0,2.55,117.55,False,1.0,2019,1,2,8
119564507,2019-02-14 07:15:00,2019-02-14 09:30:00,8349.0,73.4,17031081600.0,17031833000.0,100.0,20.0,5.15,125.15,False,1.0,2019,2,3,7
120225302,2019-02-15 07:30:00,2019-02-15 13:00:00,19669.0,85.5,17031660600.0,17031980000.0,162.5,0.0,8.59,171.09,False,1.0,2019,2,4,7
120425402,2019-02-21 07:45:00,2019-02-21 09:30:00,6531.0,59.7,17031070300.0,17031160700.0,100.0,0.0,4.25,104.25,False,1.0,2019,2,3,7
121122453,2019-01-10 08:45:00,2019-01-10 10:45:00,7411.0,57.9,17031980000.0,17031841000.0,82.5,0.0,7.55,90.05,False,1.0,2019,1,3,8
